,MANDT_x,EBELN,EBELP,MATNR,BUKRS_x,WERKS,MENGE,NETPR,NETWR,LABNR,MANDT_y,LIFNR,BUKRS_y,BSTYP,BSART,LOEKZ,STATU,AEDAT,Total_NOV
0,100,4501114600,90,70000025172,1000,1000,1.0,100.99,100.99,,100,214286,1000,F,ZABR,,9,20220111,100.99
1,100,4501115249,770,1-162-011450,1000,1000,2.0,680.13,1360.26, 22-00062,100,300315,1000,F,NB,,9,20220119,2720.52
2,100,4501115249,690,1-162-011375,1000,1000,8.0,10.12,80.96, 22-00062,100,300315,1000,F,NB,,9,20220119,647.68
3,100,4501115249,340,1-162-011027,1000,1000,16.0,1.03,16.48, 22-00062,100,300315,1000,F,NB,,9,20220119,263.68
4,100,4501115249,590,1-162-011178,1000,1000,6.0,17.58,105.48, 22-00062,100,300315,1000,F,NB,,9,20220119,632.88
5,100,4501115249,630,1-162-011211,1000,1000,20.0,5.58,111.6, 22-00062,100,300315,1000,F,NB,,9,20220119,2232.0
6,100,4501115249,390,1-162-011053,1000,1000,16.0,4.81,76.96, 22-00062,100,300315,1000,F,NB,,9,20220119,1231.36
7,100,4501115249,550,1-162-011140,1000,1000,8.0,4.68,37.44, 22-00062,100,300315,1000,F,NB,,9,20220119,299.52
8,100,4501115249,580,1-162-011175,1000,1000,2.0,47.39,94.78, 22-00062,100,300315,1000,F,NB,,9,20220119,189.56
9,100,4501115423,460,70000141481,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
10,100,4501115423,370,70000128864,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
11,100,4501115423,430,16973001703,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
12,100,4501115423,410,70000131760,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
13,100,4501115423,360,70000100387,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
14,100,4501115423,420,16973001721,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
15,100,4501115423,400,70000131759,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
16,100,4501115423,440,16973001713,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
17,100,4501115423,510,70000143001,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
18,100,4501115423,350,70000100404,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
19,100,4501115423,450,70000063511,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220120,0.01
20,100,4501114826,20,70000085320,1000,1000,2.0,149.5,299.0,224997/25.1.22,100,238552,1000,F,NB,,9,20220113,598.0
21,100,4501115547,300,1-162-011427,1000,1000,2.0,105.0,210.0,71600-2-22 31.1.2022,100,300301,1000,F,NB,,9,20220121,420.0
22,100,4501115547,230,1-162-011103,1000,1000,8.0,14.0,112.0,71600-2-22 31.1.2022,100,300301,1000,F,NB,,9,20220121,896.0
23,100,4501115547,320,1-162-011429,1000,1000,4.0,8.75,35.0,71600-2-22 31.1.2022,100,300301,1000,F,NB,,9,20220121,140.0
24,100,4501115547,270,1-162-011424,1000,1000,4.0,25.25,101.0,71600-2-22 31.1.2022,100,300301,1000,F,NB,,9,20220121,404.0
25,100,4501115547,250,1-162-011173,1000,1000,2.0,45.0,90.0,71600-2-22 31.1.2022,100,300301,1000,F,NB,,9,20220121,180.0
26,100,4501115547,310,1-162-011428,1000,1000,2.0,105.0,210.0,71600-2-22 31.1.2022,100,300301,1000,F,NB,,9,20220121,420.0
27,100,4501115547,260,1-162-011174,1000,1000,2.0,112.5,225.0,71600-2-22 31.1.2022,100,300301,1000,F,NB,,9,20220121,450.0
28,100,4501115547,290,1-162-011426,1000,1000,4.0,18.5,74.0,71600-2-22 31.1.2022,100,300301,1000,F,NB,,9,20220121,296.0
29,100,4501115547,280,1-162-011425,1000,1000,4.0,25.25,101.0,71600-2-22 31.1.2022,100,300301,1000,F,NB,,9,20220121,404.0
30,100,4501115087,20,07982320150,1000,1000,2.0,186.2,372.4,315935 vom 18.01.22,100,213070,1000,F,NB,,9,20220117,744.8
